farm_id,farm_plot_id,status,notes
1,1,active,
2,2,active,
3,3,active,
4,4,active,
5,5,active,
6,6,active,Привязка участка 6 к ферме 6
7,7,active,
8,8,active,
9,9,active,
10,10,active,
11,11,active,
12,12,active,Привязка участка 12 к ферме 12
13,13,suspended,
14,14,inactive,
15,15,active,
16,16,suspended,
17,17,inactive,
18,18,active,Привязка участка 18 к ферме 18
19,19,active,
20,20,inactive,
21,21,active,
22,22,active,
23,23,active,
24,24,active,Привязка участка 24 к ферме 24
25,25,active,
26,26,active,
27,27,active,
28,28,active,
29,29,suspended,
30,30,active,Привязка участка 30 к ферме 30
31,31,active,
32,32,active,
33,33,active,
34,34,active,
35,35,inactive,
36,36,active,Привязка участка 36 к ферме 36
37,37,suspended,
38,38,active,
39,39,active,
40,40,active,
41,41,suspended,
42,42,inactive,Привязка участка 42 к ферме 42
43,43,inactive,
44,44,active,
45,45,active,
46,46,active,
47,47,active,
48,48,active,Привязка участка 48 к ферме 48
49,49,active,
50,50,active,
51,51,inactive,
52,52,active,
53,53,active,
54,54,active,Привязка участка 54 к ферме 54
55,55,active,
56,56,active,
57,57,active,
58,58,active,
59,59,active,
60,60,active,Привязка участка 60 к ферме 60
1,61,active,
2,62,inactive,
3,63,active,
4,64,inactive,
5,65,active,
6,66,active,Привязка участка 66 к ферме 6
7,67,active,
8,68,inactive,
9,69,active,
10,70,active,
11,71,suspended,
12,72,active,Привязка участка 72 к ферме 12
13,73,inactive,
14,74,active,
15,75,suspended,
16,76,active,
17,77,active,
18,78,active,Привязка участка 78 к ферме 18
19,79,inactive,
20,80,suspended,
21,81,active,
22,82,active,
23,83,active,
24,84,active,Привязка участка 84 к ферме 24
25,85,active,
26,86,active,
27,87,active,
28,88,active,
29,89,active,
30,90,active,Привязка участка 90 к ферме 30
31,91,suspended,
32,92,suspended,
33,93,active,
34,94,active,
35,95,active,
36,96,active,Привязка участка 96 к ферме 36
37,97,active,
38,98,active,
39,99,active,
40,100,active,
41,101,active,
42,102,active,Привязка участка 102 к ферме 42
43,103,active,
44,104,active,
45,105,active,
46,106,active,
47,107,active,
48,108,active,Привязка участка 108 к ферме 48
49,109,active,
50,110,active,
51,111,active,
52,112,active,
53,113,suspended,
54,114,active,Привязка участка 114 к ферме 54
55,115,active,
56,116,active,
57,117,active,
58,118,active,
59,119,active,
60,120,active,Привязка участка 120 к ферме 60
1,121,active,
2,122,active,
3,123,active,
4,124,active,
5,125,active,
6,126,active,Привязка участка 126 к ферме 6
7,127,active,
8,128,active,
9,129,inactive,
10,130,inactive,
11,131,active,
12,132,active,Привязка участка 132 к ферме 12
13,133,suspended,
14,134,active,
15,135,active,
16,136,active,
17,137,active,
18,138,active,Привязка участка 138 к ферме 18
19,139,active,
20,140,active,
21,141,active,
22,142,active,
23,143,inactive,
24,144,active,Привязка участка 144 к ферме 24
25,145,active,
26,146,inactive,
27,147,active,
28,148,active,
29,149,active,
30,150,active,Привязка участка 150 к ферме 30
31,151,active,
32,152,active,
33,153,active,
34,154,active,
35,155,active,
36,156,suspended,Привязка участка 156 к ферме 36
37,157,active,
38,158,active,
39,159,active,
40,160,inactive,
41,161,active,
42,162,active,Привязка участка 162 к ферме 42
43,163,active,
44,164,active,
45,165,active,
46,166,active,
47,167,active,
48,168,suspended,Привязка участка 168 к ферме 48
49,169,active,
50,170,active,
51,171,active,
52,172,inactive,
53,173,active,
54,174,active,Привязка участка 174 к ферме 54
55,175,active,
56,176,inactive,
57,177,active,
58,178,suspended,
59,179,active,
60,180,active,Привязка участка 180 к ферме 60
1,181,inactive,
2,182,active,
3,183,active,
4,184,active,
5,185,active,
6,186,suspended,Привязка участка 186 к ферме 6
7,187,active,
8,188,active,
9,189,active,
10,190,suspended,
11,191,active,
12,192,active,Привязка участка 192 к ферме 12
13,193,active,
14,194,active,
15,195,active,
16,196,active,
17,197,active,
18,198,suspended,Привязка участка 198 к ферме 18
19,199,suspended,
20,200,active,
21,201,active,
22,202,active,
23,203,active,
24,204,suspended,Привязка участка 204 к ферме 24
25,205,suspended,
26,206,suspended,
27,207,suspended,
28,208,active,
29,209,active,
30,210,active,Привязка участка 210 к ферме 30
31,211,active,
32,212,active,
33,213,active,
34,214,active,
35,215,inactive,
36,216,active,Привязка участка 216 к ферме 36
37,217,active,
38,218,active,
39,219,active,
40,220,active,
